ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Custom URI,Swatches Attributes,Composite Components (JSON-encoded),Composite Scenarios (JSON-encoded),Composite Contents Virtual,Composite Aggregate Weight,Composite Layout,Composite Cart Editing,Composite Sold Individually,Composite Catalog Price,Composite Form Location,Bundled Items (JSON-encoded),Min Bundle Size,Max Bundle Size,Bundle Contents Virtual,Bundle Aggregate Weight,Bundle Layout,Bundle Group Mode,Bundle Cart Editing,Bundle Sold Individually,Bundle Form Location,Bundle Sells,Bundle Sells Title,Bundle Sells Discount,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 type,Attribute 1 swatch(s),Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 6 default,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 7 default,Attribute 4 default,Attribute 5 default,Attribute 2 default,Attribute 3 default,Attribute 1 default,Brand
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 164, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.50,,,,http://192.236.233.221/images/415004-6680-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-164,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,164 32/34,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, S, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-6680-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-s,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,S 34/36,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, M, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-6680-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-m,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,M 36/38,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, L, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-6680-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-l,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,L 38/40,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, XL, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-6680-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-xl,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,XL 42/44,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 2XL, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-6680-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-2xl,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,2XL 46/48,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 3XL, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-6680-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-3xl,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,3XL 50/52,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 128, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-128,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,128 26/28,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 140, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-140,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,140 28/30,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 152, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-152,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,152 30/32,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 164, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-164,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,164 32/34,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, S, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-s,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,S 34/36,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, M, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-m,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,M 36/38,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, L, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-l,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,L 38/40,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, XL, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-xl,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,XL 42/44,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 2XL, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-2xl,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,2XL 46/48,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 3XL, Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.50,,,,http://192.236.233.221/images/415004-3800-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-3xl,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,3XL 50/52,,1,Colour,Orange,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 128, Neon Yellow",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.50,,,,http://192.236.233.221/images/415004-8004-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-128,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,128 26/28,,1,Colour,Neon Yellow,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 140, Neon Yellow",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.50,,,,http://192.236.233.221/images/415004-8004-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-140,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,140 28/30,,1,Colour,Neon Yellow,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 152, Neon Yellow",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.50,,,,http://192.236.233.221/images/415004-8004-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-152,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,152 30/32,,1,Colour,Neon Yellow,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Vortex LS Goalkeeper Shirt - Adult, 164, Neon Yellow",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25.50,,,,http://192.236.233.221/images/415004-8004-128.jpg,,,STANNO-VORTEX-LS-GOALKEEPER-SHIRT,,,,,,45,stanno-vortex-ls-goalkeeper-shirt-adult-164,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,164 32/34,,1,Colour,Neon Yellow,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variable,STANNO-TRICK-SS-GOALKEEPER-SHIRT-SHORT,Stanno Trick SS Goalkeeper Shirt & Short,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,We will be in touch shortly to confirm your order/quote,,,"Shop > Goalkeeper Kits, Shop, Shop > Goalkeeper Kits > Stanno, Shop > Goalkeeper Kits > Stanno > Shorts",football,,http://192.236.233.221/images/415006-4000-l.jpg,,,,,,,,,1213,stanno-trick-ss-goalkeeper-shirt-short,"{""Age"":{""name"":""Age"",""type"":""label"",""terms"":{""Adult"":{""name"":""Adult"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Youth"":{""name"":""Youth"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,,,,,,,,,,,,,,,,,,,,,,Brand,Stanno,1,1,select,,Sport,Football,1,1,Material,100% Polyester,1,1,Gender,"Boys, Kids, Unisex",1,1,Age,Adult,1,1,Size,"S 34/36, M 36/38, L 38/40, XL 42/44, 2XL 46/48",1,1,M,Colour,Tan,1,1,,,,,,,Stanno
,variation,,"Stanno Trick SS Goalkeeper Shirt & Short - Adult, S, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,44.50,,,,http://192.236.233.221/images/415006-4000-l.jpg,,,STANNO-TRICK-SS-GOALKEEPER-SHIRT-SHORT,,,,,,45,stanno-trick-ss-goalkeeper-shirt-short-adult-s,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,S 34/36,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Trick SS Goalkeeper Shirt & Short - Adult, M, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,44.50,,,,http://192.236.233.221/images/415006-4000-l.jpg,,,STANNO-TRICK-SS-GOALKEEPER-SHIRT-SHORT,,,,,,45,stanno-trick-ss-goalkeeper-shirt-short-adult-m,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,M 36/38,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Trick SS Goalkeeper Shirt & Short - Adult, L, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,44.50,,,,http://192.236.233.221/images/415006-4000-l.jpg,,,STANNO-TRICK-SS-GOALKEEPER-SHIRT-SHORT,,,,,,45,stanno-trick-ss-goalkeeper-shirt-short-adult-l,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,L 38/40,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Trick SS Goalkeeper Shirt & Short - Adult, XL, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,44.50,,,,http://192.236.233.221/images/415006-4000-l.jpg,,,STANNO-TRICK-SS-GOALKEEPER-SHIRT-SHORT,,,,,,45,stanno-trick-ss-goalkeeper-shirt-short-adult-xl,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,XL 42/44,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Trick SS Goalkeeper Shirt & Short - Adult, 2XL, Tan",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,44.50,,,,http://192.236.233.221/images/415006-4000-l.jpg,,,STANNO-TRICK-SS-GOALKEEPER-SHIRT-SHORT,,,,,,45,stanno-trick-ss-goalkeeper-shirt-short-adult-2xl,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,2XL 46/48,,1,Colour,Tan,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variable,STANNO-TRICK-LS-GOALKEEPER-SHIRT-SHORT,Stanno Trick LS Goalkeeper Shirt & Short,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,We will be in touch shortly to confirm your order/quote,,,"Shop > Goalkeeper Kits, Shop, Shop > Goalkeeper Kits > Stanno, Shop > Goalkeeper Kits > Stanno > Shorts",football,,"http://192.236.233.221/images/415007-1160-128.jpg, http://192.236.233.221/images/415007-4000-128.jpg, http://192.236.233.221/images/415007-7670-128.jpg",,,,,,,,,1213,stanno-trick-ls-goalkeeper-shirt-short,"{""Age"":{""name"":""Age"",""type"":""label"",""terms"":{""Adult"":{""name"":""Adult"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Youth"":{""name"":""Youth"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,,,,,,,,,,,,,,,,,,,,,,Brand,Stanno,1,1,select,,Sport,Football,1,1,Material,100% Polyester,1,1,Gender,"Boys, Kids, Unisex",1,1,Age,Adult,1,1,Size,"128 26/28, 140 28/30, 152 30/32, 164 32/34, S 34/36, M 36/38, L 38/40, XL 42/44, 2XL 46/48",1,1,M,Colour,"Mint, Tan",1,1,,,,,,,Stanno
,variation,,"Stanno Trick LS Goalkeeper Shirt & Short - Adult, 128, Mint",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39.50,,,,http://192.236.233.221/images/415007-1160-128.jpg,,,STANNO-TRICK-LS-GOALKEEPER-SHIRT-SHORT,,,,,,45,stanno-trick-ls-goalkeeper-shirt-short-adult-128,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,128 26/28,,1,Colour,Mint,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Trick LS Goalkeeper Shirt & Short - Adult, 140, Mint",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39.50,,,,http://192.236.233.221/images/415007-1160-128.jpg,,,STANNO-TRICK-LS-GOALKEEPER-SHIRT-SHORT,,,,,,45,stanno-trick-ls-goalkeeper-shirt-short-adult-140,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,140 28/30,,1,Colour,Mint,,1,,,,,,,,,,,,,,,,,,,,,,,,
,variation,,"Stanno Trick LS Goalkeeper Shirt & Short - Adult, 152, Mint",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39.50,,,,http://192.236.233.221/images/415007-1160-128.jpg,,,STANNO-TRICK-LS-GOALKEEPER-SHIRT-SHORT,,,,,,45,stanno-trick-ls-goalkeeper-shirt-short-adult-152,,,,,,,,,,,,,,,,,,,,,,,,Age,Adult,,1,,,Size,152 30/32,,1,Colour,Mint,,1,,,,,,,,,,,,,,,,,,,,,,,,
